Book,Tag,Year,Decade,Century
"The Union ABC","hat",1860,"1860s",19
"The Union ABC","hat",1860,"1860s",19
"The Union ABC","hat",1860,"1860s",19
"The Union ABC","hat",1860,"1860s",19
"The Union ABC","hat",1860,"1860s",19
"The Union ABC","hat",1860,"1860s",19
"Barnum and Jumbo's ABC","hat",1880,"1880s",19
"Barnum and Jumbo's ABC","hat",1880,"1880s",19
"Barnum and Jumbo's ABC","hat",1880,"1880s",19
"Barnum and Jumbo's ABC","hat",1880,"1880s",19
"Arthur's Book of Alphabets","hat",1865,"1860s",19
"The Bandit Bunny Alphabet and other stories","hat",1901,"1900s",20
"The Bandit Bunny Alphabet and other stories","hat",1901,"1900s",20
"Little Folks' ABC","hat",1923,"1920s",20
"Little Folks' ABC","hat",1923,"1920s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"The Teddy Bear ABC","hat",1907,"1900s",20
"Mother's Picture Alphabet","hat",1850,"1850s",19
"Mother's Picture Alphabet","hat",1850,"1850s",19
"Mother's Picture Alphabet","hat",1850,"1850s",19
"Mother's Picture Alphabet","hat",1850,"1850s",19
"Mother's Picture Alphabet","hat",1850,"1850s",19
"Mother's Picture Alphabet","hat",1850,"1850s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"The Bicycle ABC","hat",1890,"1890s",19
"A Bizarre Company","hat",1917,"1910s",20
"A Bizarre Company","hat",1917,"1910s",20
"An Alphabet of Fairy Tales","hat",1920,"1920s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Babes of the Empire from A to Z","hat",1902,"1900s",20
"Tony Sarg's Alphabet","hat",1926,"1920s",20
"Tony Sarg's Alphabet","hat",1926,"1920s",20
"Tony Sarg's Alphabet","hat",1926,"1920s",20
